item,value,text,question
age,1,16-17 years,Age of the user
age,10,55 - 59 years,Age of the user
age,11,60 - 64 years,Age of the user
age,12,65 - 69 years,Age of the user
age,13,70 - 74 years,Age of the user
age,14,75 - 79 years,Age of the user
age,15,80 years and older,Age of the user
age,2,18 - 20 years,Age of the user
age,3,21 - 24 years,Age of the user
age,4,25 - 29 years,Age of the user
age,5,30 - 34 years,Age of the user
age,6,35 - 39 years,Age of the user
age,7,40 - 44 years,Age of the user
age,8,45 - 49 years,Age of the user
age,9,50 - 54 years,Age of the user
age,98,Under 16,Age of the user
antielitism,1,Do not see the political elite critical at all,User's attitude towards the political elite
antielitism,11,Sees the political elite very critical,User's attitude towards the political elite
bundesland,1,Baden-Württemberg,Federal state where the user resides
bundesland,10,Nordrhein-Westfalen,Federal state where the user resides
bundesland,11,Rheinland-Pfalz,Federal state where the user resides
bundesland,12,Saarland,Federal state where the user resides
bundesland,13,Sachsen,Federal state where the user resides
bundesland,14,Sachsen-Anhalt,Federal state where the user resides
bundesland,15,Schleswig-Holstein,Federal state where the user resides
bundesland,16,Thüringen,Federal state where the user resides
bundesland,2,Bayern,Federal state where the user resides
bundesland,3,Berlin,Federal state where the user resides
bundesland,4,Brandenburg,Federal state where the user resides
bundesland,5,Bremen,Federal state where the user resides
bundesland,6,Hamburg,Federal state where the user resides
bundesland,7,Hessen,Federal state where the user resides
bundesland,8,Mecklenburg-Vorpommern,Federal state where the user resides
bundesland,9,Niedersachsen,Federal state where the user resides
bundesland,99,Ich lebe nicht in Deutschland,Federal state where the user resides
civliblaworder,1,Strongly favors prioritizing civil liberties,The user's opinion on balancing civil liberties and crime prevention
civliblaworder,11,Strongly favors strict laws to combat crime,The user's opinion on balancing civil liberties and crime prevention
datestamp,,Date and time format,Date and time user closed website
demsat,1,Very dissatisfied,User's satisfaction with democracy in Germany
demsat,2,Dissatisfied,User's satisfaction with democracy in Germany
demsat,3,Mixed,User's satisfaction with democracy in Germany
demsat,4,Satisfied,User's satisfaction with democracy in Germany
demsat,5,Very satisfied,User's satisfaction with democracy in Germany
demsat,6,Don't know,User's satisfaction with democracy in Germany
econinterven,1,Strongly supports state intervention in the economy,The user's opinion regarding government intervention in the economy
econinterven,11,Strongly opposes state intervention in the economy,The user's opinion regarding government intervention in the economy
education,1,Completed school without a diploma,Highest educational qualification of the user
education,2,"Secondary general school diploma, vocational school diploma, or completion of the 8th or 9th grade of polytechnic secondary school",Highest educational qualification of the user
education,3,"Intermediate school diploma, technical school diploma, or completion of the 10th grade of polytechnic secondary school",Highest educational qualification of the user
education,4,"University of applied sciences entrance qualification (e.g., technical secondary school)",Highest educational qualification of the user
education,5,High school diploma or advanced secondary school qualification (12th grade),Highest educational qualification of the user
education,6,Other school qualification,Highest educational qualification of the user
education,7,Currently at school,Highest educational qualification of the user
environment,1,"Strongly favors environmental protection, even at the expense of economic growth",The user's opinion on whether environmental protection or economic growth is more important
environment,11,"Strongly favors economic growth, even at the expense of environmental protection",The user's opinion on whether environmental protection or economic growth is more important
eucohesion,1,Strongly opposes the EU Structural Funds,"The user's opinion on EU Structural Funds, which provide financial support to economically weak regions"
eucohesion,11,Strongly supports the EU Structural Funds,"The user's opinion on EU Structural Funds, which provide financial support to economically weak regions"
euenlargement,1,EU enlargement has gone too far,The user's opinion on whether the EU should expand to include more member states
euenlargement,10,The EU should be expanded to include additional member states,The user's opinion on whether the EU should expand to include more member states
euforeign,1,Member states should prioritize their own interests,The user's opinion on strengthening a common EU foreign and security policy
euforeign,11,It is important for the EU to speak with one voice,The user's opinion on strengthening a common EU foreign and security policy
euintegrationtoofar,1,The EU should return powers to national governments,The user's opinion on whether the EU's powers are too extensive or need to be expanded
euintegrationtoofar,11,National governments should transfer more powers to the EU,The user's opinion on whether the EU's powers are too extensive or need to be expanded
euitems_pc1,1,Strongly disagree,Agreement with: 'I have all the necessary information to decide whom to vote for in the European elections'
euitems_pc1,2,Somewhat disagree,Agreement with: 'I have all the necessary information to decide whom to vote for in the European elections'
euitems_pc1,3,Partly agree/Partly disagree,Agreement with: 'I have all the necessary information to decide whom to vote for in the European elections'
euitems_pc1,4,Somewhat agree,Agreement with: 'I have all the necessary information to decide whom to vote for in the European elections'
euitems_pc1,5,Strongly agree,Agreement with: 'I have all the necessary information to decide whom to vote for in the European elections'
euitems_pc3,1,Strongly disagree,Agreement with: 'I feel like a citizen of the EU'
euitems_pc3,2,Somewhat disagree,Agreement with: 'I feel like a citizen of the EU'
euitems_pc3,3,Partly agree/Partly disagree,Agreement with: 'I feel like a citizen of the EU'
euitems_pc3,4,Somewhat agree,Agreement with: 'I feel like a citizen of the EU'
euitems_pc3,5,Strongly agree,Agreement with: 'I feel like a citizen of the EU'
euitems_pc4,1,Strongly disagree,Agreement with: 'The European Parliament takes into account the concerns of European citizens'
euitems_pc4,2,Somewhat disagree,Agreement with: 'The European Parliament takes into account the concerns of European citizens'
euitems_pc4,3,Partly agree/Partly disagree,Agreement with: 'The European Parliament takes into account the concerns of European citizens'
