sex,edu,age,geo2,Freq
1,0,1,Baden-Württemberg,1019900
1,0,1,Bayern,1154800
1,0,1,Berlin,310000
1,0,1,HBHHSHNS,1237000
1,0,1,MVBB,298500
1,0,1,Nordrhein-Westfalen,1673900
1,0,1,RPSLHE,1025900
1,0,1,THSTSN,639000
1,0,3,Baden-Württemberg,422400
1,0,3,Bayern,502900
1,0,3,Berlin,163000
1,0,3,HBHHSHNS,547700
1,0,3,MVBB,204300
1,0,3,Nordrhein-Westfalen,768200
1,0,3,RPSLHE,460000
1,0,3,THSTSN,396700
1,0,4,Baden-Württemberg,922300
1,0,4,Bayern,1190000
1,0,4,Berlin,287800
1,0,4,HBHHSHNS,1227900
1,0,4,MVBB,427800
1,0,4,Nordrhein-Westfalen,1704600
1,0,4,RPSLHE,1024400
1,0,4,THSTSN,804700
1,0,5,Baden-Württemberg,647500
1,0,5,Bayern,811400
1,0,5,Berlin,181100
1,0,5,HBHHSHNS,853100
1,0,5,MVBB,275200
1,0,5,Nordrhein-Westfalen,1135100
1,0,5,RPSLHE,738200
1,0,5,THSTSN,575900
1,1,1,Baden-Württemberg,350400
1,1,1,Bayern,416400
1,1,1,Berlin,155000
1,1,1,HBHHSHNS,324800
1,1,1,MVBB,49100
1,1,1,Nordrhein-Westfalen,439900
1,1,1,RPSLHE,278100
1,1,1,THSTSN,129800
1,1,3,Baden-Württemberg,330200
1,1,3,Bayern,400600
1,1,3,Berlin,137300
1,1,3,HBHHSHNS,325800
1,1,3,MVBB,81100
1,1,3,Nordrhein-Westfalen,399200
1,1,3,RPSLHE,288700
1,1,3,THSTSN,180200
1,1,4,Baden-Württemberg,625400
1,1,4,Bayern,666400
1,1,4,Berlin,182100
1,1,4,HBHHSHNS,622200
1,1,4,MVBB,170500
1,1,4,Nordrhein-Westfalen,796300
1,1,4,RPSLHE,562900
1,1,4,THSTSN,317100
1,1,5,Baden-Württemberg,417200
1,1,5,Bayern,444400
1,1,5,Berlin,116700
1,1,5,HBHHSHNS,464700
1,1,5,MVBB,196300
1,1,5,Nordrhein-Westfalen,566700
1,1,5,RPSLHE,391300
1,1,5,THSTSN,370000
2,0,1,Baden-Württemberg,895400
2,0,1,Bayern,1018400
2,0,1,Berlin,274500
2,0,1,HBHHSHNS,1086300
2,0,1,MVBB,257700
2,0,1,Nordrhein-Westfalen,1482400
2,0,1,RPSLHE,889200
2,0,1,THSTSN,528900
2,0,3,Baden-Württemberg,437500
2,0,3,Bayern,514700
2,0,3,Berlin,147600
2,0,3,HBHHSHNS,539000
2,0,3,MVBB,174500
2,0,3,Nordrhein-Westfalen,749800
2,0,3,RPSLHE,447900
2,0,3,THSTSN,335700
2,0,4,Baden-Württemberg,1150700
2,0,4,Bayern,1399600
2,0,4,Berlin,288800
2,0,4,HBHHSHNS,1450800
2,0,4,MVBB,402800
2,0,4,Nordrhein-Westfalen,1981700
2,0,4,RPSLHE,1214400
2,0,4,THSTSN,743200
2,0,5,Baden-Württemberg,1071500
2,0,5,Bayern,1277600
2,0,5,Berlin,270400
2,0,5,HBHHSHNS,1331100
2,0,5,MVBB,407300
2,0,5,Nordrhein-Westfalen,1800400
2,0,5,RPSLHE,1153100
2,0,5,THSTSN,860300
2,1,1,Baden-Württemberg,363200
2,1,1,Bayern,421100
2,1,1,Berlin,181100
2,1,1,HBHHSHNS,359600
2,1,1,MVBB,56800
2,1,1,Nordrhein-Westfalen,491700
2,1,1,RPSLHE,313400
2,1,1,THSTSN,138700
2,1,3,Baden-Württemberg,294500
2,1,3,Bayern,356400
2,1,3,Berlin,144800
2,1,3,HBHHSHNS,324100
2,1,3,MVBB,95700
2,1,3,Nordrhein-Westfalen,401800
2,1,3,RPSLHE,288200
2,1,3,THSTSN,179300
2,1,4,Baden-Württemberg,404900
2,1,4,Bayern,461700
2,1,4,Berlin,179600
2,1,4,HBHHSHNS,457100
2,1,4,MVBB,189800
2,1,4,Nordrhein-Westfalen,567400
2,1,4,RPSLHE,396800
2,1,4,THSTSN,330400
2,1,5,Baden-Württemberg,186700
2,1,5,Bayern,223600
2,1,5,Berlin,113900
2,1,5,HBHHSHNS,254200
2,1,5,MVBB,181100
2,1,5,Nordrhein-Westfalen,296000
2,1,5,RPSLHE,192500
2,1,5,THSTSN,351400
