id,startdate,datestamp,gender,bundesland,age,education,university,recall,recallland,recallland_other,econinterven,saleconinterven,environment,salenvironment,protectionism,salprotectionism,redistribution,salredistribution,eucohesion,saleucohesion,euenlargement,saleuenlargement,euforeign,saleuforeign,euintegrationtoofar,saleuintegrationtoofar,euposition,saleuposition,civliblaworder,salcivliblaworder,immigratepolicy,salimmigratepolicy,lgb,sallgb,multiculturalism,salmulticulturalism,trans,saltrans,urbanrural,salurbanrural,random,ptv_spd,ptv_cdu,ptv_csu,ptv_greens,ptv_fdp,ptv_afd,ptv_left,ptv_bsw,ptv_freevoters,ptv_volt,ptv_climatelist,votinteu,normdem,demsat,popnonreg_pc1,popnonreg_pc2,popnonreg_pc4,popnonreg_pc5,popnonreg_pc6,popnonreg_pc7,popnonreg_pc8,popreg_pc1,popreg_pc2,popreg_pc4,popreg_pc5,popreg_pc6,popreg_pc7,popreg_pc8,popreg_pc9,popreg_pc10,popreg_pc12,popreg_pc13,popreg_pc14,popreg_pc15,popreg_pc16,peoplecentrism,antielitism,polint,euitems_pc1,euitems_pc3,euitems_pc4,euitems_pc5,euitems_pc6,euitems_pc7,euitems_pc8,popgen_pc1,popgen_pc2,popgen_pc5,popgen_pc6,popgen_pc7,wishesmajority,wishesmajority_spd,wishesmajority_cdu,wishesmajority_csu,wishesmajority_greens,wishesmajority_fdp,wishesmajority_afd,wishesmajority_left,wishesmajority_bsw,wishesmajority_freevoters,wishesmajority_nonofparties,votint,trustslider_breg,trustslider_btag,trustslider_parties,trustslider_politicians,trustslider_eu,trustslider_nato,trustslider_army,trustslider_russia,trustslider_usa,trustslider_china,trustslider_bverfg,trustslider_verfsch,lrgen,socself,urbanrurallive,out,w
6,2024-05-28T18:02:16Z,2024-05-28T18:28:19Z,1,7,15,5,1,1,NA,NA,3.5,7.5,3.5,9,4.5,7.5,3.5,9,9.5,10.5,8.5,8.5,8.5,9,8.5,9,10,9.5,8.5,8,2,10.5,10,10,3.5,9,8.5,10.5,7.5,7,1,3.5,-4,-5,4,-5,-5,-3.5,-5,-4.5,-4,-4.5,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,2,3,1.5,6,4,4,5,4,3,5,4,4,3,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,1.5,1,1,1.5,0.5,3,-4.5,1.5,2.5,3,0,3,9,1,FALSE,0.791687143369018
13,2024-05-28T18:44:17Z,2024-05-28T18:54:35Z,1,6,12,5,1,1,NA,NA,3,9,2.5,9.5,5,7,3,10.5,4.5,7.5,6.5,6.5,9.5,9,9,9.5,10,10,4.5,7.5,2,10.5,10,9.5,3,8.5,9,NA,8,8.5,1,2,-3.5,-4,2.5,3.5,3.5,1,-5,-5,2,2,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,5,5,5,3,4,5,4,4,1,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,1,2,1,2,4,1,-4,5,2,3,9,1,FALSE,0.4875068117982941
19,2024-05-28T19:11:21Z,2024-05-28T19:30:39Z,1,10,12,5,2,1,NA,NA,3.5,2.5,3.5,11,1,11,3.5,11,8.5,8.5,8.5,8.5,11,11,11,11,11,11,8.5,8.5,4,8,7,5,3,6,7,5,8.5,8.5,2,5,-5,4,2.5,-5,-5,2.5,-5,2.5,-5,-5,1,5,5,1,4,2,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,4,4,3,4,3,4,5,5,2,2,2,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,3,3,5,3.5,-5,3,-5,5,3,2,9,1,FALSE,1.1908090855869238
24,2024-05-28T19:21:00Z,2024-05-28T19:41:18Z,1,13,12,3,2,11,99,NA,8,NA,1,11,8.5,NA,8,9,4.5,NA,2,NA,1,10,1,10,3,3,1,11,1,11,4,NA,11,11,1,NA,6,NA,2,-5,-5,-5,-5,-5,2,-3,2,0,-5,-5,11,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,4,2,1,1,4,4,2,4,5,5,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,11,-5,-4,-5,-4,-5,-5,-5,-5,-5,-5,-4,-5,6,3,4,FALSE,1.2548028783988372
36,2024-05-28T19:31:16Z,2024-05-28T19:49:22Z,2,7,10,5,2,3,NA,NA,6.5,7,5,8,5,7,4.5,7,6.5,NA,5,6,8,8,7,8,7,7,4,5.5,5.5,5.5,8,6.5,5,7,6.5,5.5,5,NA,1,-2,-3,-5,5,-4,-5,-5,-5,-5,0,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,4,3,4,5,3,4,1,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3.5,1,2,2,2,1,-5,2,-4,4,2,3.5,7,5,FALSE,0.929676417257975
47,2024-05-28T19:45:13Z,2024-05-28T19:59:56Z,1,10,14,5,1,3,NA,NA,4,9,1,11,6,11,4,8,11,11,1,11,11,11,11,11,11,11,4,9,1,11,11,11,1,9,11,11,6,10,2,0,-5,-5,5,-5,-5,-5,-5,-5,4,-5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,5,5,5,4,5,5,4,4,3,3,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,2,2,2,5,-2,-5,-1,-5,5,2,1,6,1,FALSE,0.486419584915946
55,2024-05-28T19:49:09Z,2024-05-28T20:04:02Z,1,13,14,3,2,5,5,NA,11,11,11,11,11,11,11,NA,1,4.5,1,1,1,11,1,11,1,11,1,11,11,11,1,6,11,11,1,NA,1,11,1,-5,-5,-5,-5,-5,5,-5,NA,5,NA,-5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,5,1,1,5,1,5,5,5,5,1,4,3,5,NA,NA,NA,NA,NA,Y,NA,Y,Y,NA,5,-5,-5,-5,-5,-5,-4,1,1,-5,-5,-5,-5,11,1,5,FALSE,1.2548028783988372
69,2024-05-28T20:05:09Z,2024-05-28T20:16:02Z,1,10,10,5,2,4,NA,NA,10,9,9.5,9.5,6.5,7,8,8,3,7,3,6,11,7.5,5,7.5,5.5,5.5,8,8,9,11,5,7,10,10,5.5,7,7,7,1,-5,4,2,-4.5,2.5,-5,-5,-5,0.5,-5,-5,2,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,3,3,4,4.5,5,5,4,4,4,4,4,4,4,3,2,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.5,4,3.5,1,1.5,3.5,-2,-4.5,1,-5,1.5,1.5,8.5,7.5,2,FALSE,0.9285192683272518
91,2024-05-28T20:20:35Z,2024-05-28T20:29:49Z,1,10,7,5,1,33,NA,NA,5.5,8.5,2.5,10,5.5,7,3.5,8.5,7,6.5,6,NA,10,10,8.5,8.5,10,8.5,5.5,7,3.5,9,10,8,4,7.5,9,6.5,7,5.5,2,5,-0.5,-4.5,3,-4,-5,-4.5,-5,-5,-2,-0.5,1,5,5,1,4,1,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,4,5,3,4,5,4,5,2,2,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,4,4,-4.5,3,-3,5,5,5.5,7,1,FALSE,0.6281882481274339
92,2024-05-28T20:21:05Z,2024-05-28T20:36:40Z,2,2,7,5,1,3,NA,NA,4.5,8,3.5,10.5,7,8,5,8,6,NA,5,8,9,10,7,8,8,NA,5,6,2.5,10.5,11,10.5,4.5,10,11,9,6,7,2,4.5,-5,-4.5,4.5,-5,-5,-4,-4.5,-5,-4.5,-4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.5,4,2,4,5,4,4,1,5,1,1,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,3,0,0,1.5,3,3,-5,2,-5,5,5,3,3.5,3,FALSE,0.9177339336370727
109,2024-05-28T20:30:34Z,2024-05-28T20:38:51Z,2,2,11,5,1,2,NA,NA,8,8,6,6,6,6,6,6,9,9,9,9,10,10,9,9,10,10,8.5,8.5,6,6,6.5,6.5,6,6,6,6,6,6,1,1,1,1,0,0,-5,-5,-5,NA,NA,-1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,5,4,5,5,4,4,2,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.5,3.5,3,3,5,4.5,4.5,-5,1.5,-4.5,5,4,5,10,1,FALSE,0.7265393641293488
125,2024-05-28T20:43:41Z,2024-05-28T20:59:10Z,1,1,13,5,1,1,NA,NA,4,7,6.5,6.5,8.5,7.5,5,NA,7.5,7.5,4.5,7,8,7,8,6.5,7.5,7,6.5,6.5,9,11,9,9,9.5,9,6.5,NA,6.5,NA,2,4,-1,-5,5,-4,-5,1,1,-5,2,1,3,5,3,2,4,3,2,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4.5,5,5,5,3,5,5,5,5,3,3,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2.5,2,2,3,-5,3,-5,5,4,5,10,1,FALSE,0.4220443089874192
