id,sex,age,edu,geo2,w
1,1,4,1,THSTSN,0.38058207520844134
5,1,3,1,RPSLHE,0.3464965156501962
6,1,5,1,RPSLHE,1.7904895395326654
7,2,3,1,THSTSN,0.33486992540637
10,2,1,1,THSTSN,0.31732800809248657
11,1,5,0,Bayern,1.8001263386248463
13,1,5,1,HBHHSHNS,1.2694622807569547
14,1,3,1,Nordrhein-Westfalen,0.27940924444387544
16,1,5,1,HBHHSHNS,1.2694622807569547
17,2,4,0,Nordrhein-Westfalen,3.3276170661351263
18,2,4,1,THSTSN,0.5732043935324015
19,1,5,0,Nordrhein-Westfalen,8.310287457494619
20,2,4,1,Bayern,0.24423376662118426
21,2,4,1,Nordrhein-Westfalen,0.6274993277383306
22,1,4,1,RPSLHE,0.4736896754069664
23,2,5,1,Bayern,0.4814761786978579
24,1,5,0,THSTSN,11.095462367728205
25,1,1,0,MVBB,1.255963475830347
26,2,4,1,Berlin,0.34970384729577364
27,1,5,1,THSTSN,1.693026142670804
28,1,4,1,Baden-Württemberg,0.5412145164533009
29,1,4,1,THSTSN,0.38058207520844134
30,1,3,1,Berlin,0.16318181073267798
31,2,4,1,Bayern,0.24423376662118426
32,1,3,1,Bayern,0.25327032544608247
33,1,4,1,Bayern,0.22421157024559785
34,1,5,1,Nordrhein-Westfalen,1.2060816028303516
35,1,4,1,MVBB,0.41333231763074496
36,2,4,0,RPSLHE,3.175306482871702
37,2,4,1,THSTSN,0.5732043935324015
38,1,4,1,Berlin,0.1821297064423889
39,1,1,1,Baden-Württemberg,0.303950998023234
40,1,5,1,Bayern,0.40976557576575867
41,1,4,0,THSTSN,1.7638817116131427
42,1,4,0,Bayern,1.304224702882832
43,1,4,1,Nordrhein-Westfalen,0.490729535866323
44,1,5,1,Bayern,0.40976557576575867
45,1,3,1,MVBB,0.299873153525749
46,1,5,1,Bayern,0.40976557576575867
47,1,5,1,Nordrhein-Westfalen,1.2060816028303516
49,1,4,1,HBHHSHNS,0.39610843373716254
51,1,4,1,Bayern,0.22421157024559785
52,1,4,1,MVBB,0.41333231763074496
53,1,4,1,Bayern,0.22421157024559785
54,2,5,1,Bayern,0.4814761786978579
55,1,5,0,THSTSN,11.095462367728205
56,2,4,1,HBHHSHNS,0.59335422642501
57,2,1,1,Nordrhein-Westfalen,0.5862917188845741
58,1,5,1,HBHHSHNS,1.2694622807569547
59,1,4,1,Baden-Württemberg,0.5412145164533009
60,1,1,0,RPSLHE,1.417134539329714
61,2,5,1,HBHHSHNS,1.2243733868191156
62,2,4,1,Baden-Württemberg,0.5812453928287536
64,1,5,1,MVBB,1.3558022715197509
65,1,3,1,Baden-Württemberg,0.3311586714904999
66,1,4,1,Bayern,0.22421157024559785
67,1,5,1,RPSLHE,1.7904895395326654
68,2,4,1,THSTSN,0.5732043935324015
69,1,4,0,Nordrhein-Westfalen,2.2048953206354
71,1,5,1,Bayern,0.40976557576575867
74,2,1,1,Baden-Württemberg,0.5471312156761556
75,1,3,1,Nordrhein-Westfalen,0.27940924444387544
76,1,1,1,Baden-Württemberg,0.303950998023234
78,1,4,1,Nordrhein-Westfalen,0.490729535866323
80,1,1,1,Nordrhein-Westfalen,0.2771594920820162
81,1,4,0,THSTSN,1.7638817116131427
82,1,1,1,Nordrhein-Westfalen,0.2771594920820162
83,2,3,0,MVBB,1.557985824105763
86,1,4,0,MVBB,2.1452101705577786
87,1,4,0,Baden-Württemberg,2.790222044021058
89,1,3,1,Bayern,0.25327032544608247
91,1,3,1,Nordrhein-Westfalen,0.27940924444387544
92,2,3,1,Bayern,0.40266567717575724
93,2,1,1,Baden-Württemberg,0.5471312156761556
95,1,1,1,RPSLHE,0.3191260325522322
97,1,5,1,RPSLHE,1.7904895395326654
99,1,4,1,Bayern,0.22421157024559785
100,2,1,0,Bayern,0.953440422310601
101,2,4,1,Baden-Württemberg,0.5812453928287536
102,1,1,1,Nordrhein-Westfalen,0.2771594920820162
103,2,1,0,RPSLHE,2.2142876941539016
105,1,3,1,Nordrhein-Westfalen,0.27940924444387544
106,1,4,0,Baden-Württemberg,2.790222044021058
107,1,4,1,RPSLHE,0.4736896754069664
108,2,4,1,Berlin,0.34970384729577364
109,2,4,1,Bayern,0.24423376662118426
110,1,4,1,RPSLHE,0.4736896754069664
113,1,1,0,Bayern,0.7630428683993563
114,1,4,1,Bayern,0.22421157024559785
115,1,1,1,Nordrhein-Westfalen,0.2771594920820162
116,1,4,1,Bayern,0.22421157024559785
117,1,5,1,HBHHSHNS,1.2694622807569547
118,2,1,1,Nordrhein-Westfalen,0.5862917188845741
119,1,1,1,RPSLHE,0.3191260325522322
120,1,1,0,THSTSN,1.1522766131451354
121,1,1,1,Nordrhein-Westfalen,0.2771594920820162
122,1,3,1,Bayern,0.25327032544608247
123,1,1,1,Bayern,0.21229423648516815
124,1,1,1,Berlin,0.15587707283277444
125,1,5,1,Baden-Württemberg,1.3165526686342228
126,1,3,1,Bayern,0.25327032544608247
127,1,1,1,Berlin,0.15587707283277444
128,1,1,1,Bayern,0.21229423648516815
129,1,4,1,Nordrhein-Westfalen,0.490729535866323
130,2,4,0,Bayern,1.5385500457963115
131,1,3,1,THSTSN,0.2339147486365962
132,2,4,1,Berlin,0.34970384729577364
134,1,4,1,Nordrhein-Westfalen,0.490729535866323
135,2,3,1,MVBB,0.46094623571435517
136,1,1,0,Bayern,0.7630428683993563
137,1,5,1,Bayern,0.40976557576575867
138,2,3,1,Nordrhein-Westfalen,0.6566195985763772
139,1,4,0,THSTSN,1.7638817116131427
140,1,4,1,Baden-Württemberg,0.5412145164533009
142,1,5,1,Nordrhein-Westfalen,1.2060816028303516
144,2,1,1,THSTSN,0.31732800809248657
145,1,4,1,Nordrhein-Westfalen,0.490729535866323
146,2,4,1,Nordrhein-Westfalen,0.6274993277383306
147,2,4,0,Bayern,1.5385500457963115
149,2,1,0,Bayern,0.953440422310601
150,2,4,0,HBHHSHNS,2.5410498671013015
151,1,3,1,Nordrhein-Westfalen,0.27940924444387544
152,2,1,0,RPSLHE,2.2142876941539016
153,1,5,1,Baden-Württemberg,1.3165526686342228
154,1,4,1,Berlin,0.1821297064423889
155,2,5,0,Bayern,4.821421454168228
156,2,4,0,HBHHSHNS,2.5410498671013015
158,2,1,0,Nordrhein-Westfalen,2.660033867403492
159,2,1,1,Berlin,0.31123668005347876
160,1,1,0,Berlin,0.8596856744110565
161,1,4,1,HBHHSHNS,0.39610843373716254
162,1,1,0,Nordrhein-Westfalen,1.455456871139073
164,1,3,1,HBHHSHNS,0.31057878225346247
165,2,4,1,Berlin,0.34970384729577364
166,2,3,0,Bayern,2.242987273185747
167,2,3,0,Nordrhein-Westfalen,3.1189950903552006
168,1,3,1,Nordrhein-Westfalen,0.27940924444387544
169,1,1,1,THSTSN,0.1746858452453663
170,1,4,1,HBHHSHNS,0.39610843373716254
172,1,3,1,MVBB,0.299873153525749
173,1,1,1,Bayern,0.21229423648516815
175,1,4,0,Berlin,1.3862103097031517
176,1,1,0,THSTSN,1.1522766131451354
177,2,4,1,Nordrhein-Westfalen,0.6274993277383306
180,1,4,1,THSTSN,0.38058207520844134
181,1,1,1,HBHHSHNS,0.23543800530456288
182,1,3,1,Nordrhein-Westfalen,0.27940924444387544
183,1,1,1,THSTSN,0.1746858452453663
184,1,4,1,THSTSN,0.38058207520844134
186,1,3,1,Bayern,0.25327032544608247
189,2,4,0,HBHHSHNS,2.5410498671013015
190,2,4,0,THSTSN,2.34530667145003
191,1,4,1,Baden-Württemberg,0.5412145164533009
193,1,3,0,Nordrhein-Westfalen,1.7042852518259892
194,1,4,1,Bayern,0.22421157024559785
195,1,1,1,HBHHSHNS,0.23543800530456288
196,2,4,1,HBHHSHNS,0.59335422642501
197,2,4,1,Nordrhein-Westfalen,0.6274993277383306
200,1,4,1,HBHHSHNS,0.39610843373716254
202,1,4,1,HBHHSHNS,0.39610843373716254
204,1,3,1,Berlin,0.16318181073267798
205,1,4,1,HBHHSHNS,0.39610843373716254
207,1,3,1,MVBB,0.299873153525749
208,1,1,1,RPSLHE,0.3191260325522322
210,2,4,1,Baden-Württemberg,0.5812453928287536
212,1,4,1,HBHHSHNS,0.39610843373716254
213,1,4,1,MVBB,0.41333231763074496
214,1,3,1,THSTSN,0.2339147486365962
216,1,4,1,RPSLHE,0.4736896754069664
217,2,4,1,HBHHSHNS,0.59335422642501
218,1,1,1,Berlin,0.15587707283277444
220,1,3,0,Nordrhein-Westfalen,1.7042852518259892
221,1,4,1,Nordrhein-Westfalen,0.490729535866323
223,1,1,1,Baden-Württemberg,0.303950998023234
226,1,1,1,Nordrhein-Westfalen,0.2771594920820162
229,1,4,1,MVBB,0.41333231763074496
230,1,3,1,RPSLHE,0.3464965156501962
232,1,4,1,Nordrhein-Westfalen,0.490729535866323
236,2,5,1,HBHHSHNS,1.2243733868191156
237,1,3,1,Nordrhein-Westfalen,0.27940924444387544
238,2,4,1,Baden-Württemberg,0.5812453928287536
239,1,5,0,HBHHSHNS,6.644373098619728
240,1,4,0,Bayern,1.304224702882832
241,1,4,1,Bayern,0.22421157024559785
242,1,3,0,Bayern,1.3243987511555828
244,1,1,1,HBHHSHNS,0.23543800530456288
245,1,1,0,Nordrhein-Westfalen,1.455456871139073
246,1,4,1,Berlin,0.1821297064423889
247,2,4,0,Nordrhein-Westfalen,3.3276170661351263
249,1,1,1,HBHHSHNS,0.23543800530456288
250,1,1,0,Berlin,0.8596856744110565
251,1,3,1,Bayern,0.25327032544608247
252,1,3,1,Baden-Württemberg,0.3311586714904999
253,1,1,0,Nordrhein-Westfalen,1.455456871139073
254,1,1,0,Bayern,0.7630428683993563
255,1,3,1,RPSLHE,0.3464965156501962
256,1,1,1,RPSLHE,0.3191260325522322
257,2,4,0,Baden-Württemberg,3.5102075358041405
258,2,4,1,HBHHSHNS,0.59335422642501
259,1,3,0,Baden-Württemberg,1.6626195702740991
260,1,3,1,Nordrhein-Westfalen,0.27940924444387544
261,2,4,0,Berlin,1.9946800612068458
263,1,3,1,HBHHSHNS,0.31057878225346247
264,1,3,0,HBHHSHNS,1.253068132892974
265,1,3,1,RPSLHE,0.3464965156501962
