"party";"bl";"leftrightgeneral";"lrecon";"galtan";"genderlanguage";"genderroles";"childcare";"communityschool";"antielitism";"peoplecentrism";"publicdebt";"migrantbenefit";"assimilation";"liberalism";"climatepolicy";"immigration";"lawandorder";"missiles";"rentcontrol";"ukraine";"publicbroadcast";"asylum"
"afd";"1nat";19;17;19;1;2;14;20;20;16;16;1;1;19,5;20;20;19;1,5;3,5;20;1,5;20
"afd";"bb";18,5;16;19,5;1;2;13,5;20;20;16;18;1;1;19;20;20;19;1;4,5;20;2;NA
"afd";"bw";6,5;8,5;10,5;7;NA;7;7,5;13;9;8;8,5;10;10,5;8;14;12;NA;12;9,5;10,5;NA
"afd";"hh";18;16;19;1;1;17,5;20;20;20;15,5;1;1;19;20;20;19;NA;3;20;1;20
"afd";"rp";11,5;8;9,5;8;NA;9;6,5;10,5;8;8,5;10,5;8;8,5;8;11;5;NA;9,5;10;6,5;NA
"afd";"sn";20;18;20;1;1;14;20;20;17;18,5;1;1;20;20;20;20;1;2;20;1;NA
"afd";"th";20;17;20;1;1;12,5;20;20;16,5;18;1;1;20;20;20;20;1;3,5;20;1;NA
"bsw";"1nat";12;6;15;3;12;4;11;18;14,5;7;5,5;4;12;15;17;14,5;1;15;20;8;18,5
"bsw";"bb";11,5;6;13,5;3;11,5;3;9,5;17;15,5;7;4;5;10,5;14;16,5;15;1;16,5;20;8;NA
"bsw";"bw";9;7;11;9;NA;7;7;13;12;7;13;14;10;11;13;11;NA;10;14;12;NA
"bsw";"hh";13;3;16;5;10;4;11;20;17;4;3;3;16;16;20;15;NA;19;20;6,5;18
"bsw";"rp";8,5;7;9;6,5;NA;9,5;10;9;6,5;9;13,5;10,5;11,5;12;12,5;7,5;NA;12;9,5;7;NA
"bsw";"sn";13;8;15;3;10;4;11;19,5;14;10,5;5;5;11;14;17;14;1;13;20;8;NA
"bsw";"th";13;7;15;3;13;4;11;17;14;7,5;5;4;13;16;18;15;1;13,5;20;8;NA
"cdu";"1nat";14;16;15;3;7;12;17;3;6,5;17;6;5;14;16;16;16;17;4;4;11;17
"cdu";"bb";14,5;14,5;15;2;6;10;17;6;9;17;6;5;14,5;17;17;16;16,5;5;5;10;NA
"cdu";"bw";13;14;7;9;NA;9;7;10;7;9;8;8;8;9;14;9;NA;9;5;12;NA
"cdu";"hh";13,5;15;15,5;2,5;5;11;18;2;5,5;16;6;5;15;16,5;16;15,5;NA;5;3;11;17
"cdu";"rp";4,5;10,5;9;10,5;NA;9,5;9,5;14;7;9,5;5,5;5;9,5;7;14;11;NA;7;4,5;7;NA
"cdu";"sn";16;17;17;1;7;10;18;5;6;16;5;2;16;18;18;18;12;4;10;9;NA
"cdu";"th";16;15;17;2;6;11;17,5;12;8;16;4;3;17;18;17;17;15;3,5;8;10;NA
"fdp";"1nat";13;18;9;8;13;14;15;3,5;8;20;8;10;5;18;13;8;16;1;4,5;9;15
"fdp";"bb";12;16;8;6;11;17;18;4,5;11;20;8;10;5;18;13;4;15;1;7;9,5;NA
"fdp";"bw";12;12;9;9;NA;6;7;8;11;9;8;14;13;15;13;14;NA;10;8;12;NA
"fdp";"hh";13;18;7;9,5;14;14;16;3;8,5;20;8;11,5;3;17;11,5;6;NA;1,5;2;7,5;13
"fdp";"rp";6;10,5;10;7;NA;5;8,5;9;6,5;9;6,5;11;15;11,5;11,5;12,5;NA;10;8;6,5;NA
"fdp";"sn";15;18;10;6;9;15;18;4;9;18;5;5;8;19;14,5;10;14;1;9;9;NA
"fdp";"th";16;18;12;5,5;10;15;15;10;12;19,5;8;5;8;19;15;12;11;1;9;9;NA
"fw";"1nat";16;15;14;2;5,5;12;12;11,5;10,5;13;8,5;7;12;15;14,5;13;11,5;7;12;7;NA
"fw";"bb";16;14;15;2;NA;12;13;NA;11;14;7;7;14;14;15;NA;7;7;5;3;NA
"fw";"rp";10,5;7;8,5;10;NA;9,5;8;8,5;8;8;11,5;12,5;12,5;10,5;10,5;9,5;NA;11,5;10;7,5;NA
"fw";"sn";15;15;14;5;6;12;12,5;15;11,5;12;10;5;11;16;14;13;8,5;6;14;6;NA
"fw";"th";17;18;17;1;3;12;18;15;3;16;3;2;19;18;19;17,5;15;5;14,5;4;NA
"greens";"1nat";8;8;5;17;19;4;6;5;11;5;17;17;2;5;6;6;14;16;4;16;6,5
"greens";"bb";7;8;6;17;17;4,5;7;4;11;6,5;17;15;3;4;7;7;12;14,5;6;16;NA
"greens";"bw";10;7;8,5;9,5;NA;9;8,5;7,5;11;9,5;12,5;9;9;9;12;10;NA;9;10;7;NA
"greens";"hh";7;8;3;18;19;5,5;4;7;11;5;18;18;2;4;6;5;NA;16;5,5;18;6
"greens";"rp";9,5;9,5;10;9,5;NA;8;9,5;8,5;9;9,5;11,5;10,5;9,5;10;13,5;8,5;NA;9,5;10,5;10,5;NA
"greens";"sn";9;10;6;17,5;18,5;3;4;3;12;5;16;17;2;5;7;6;14;16,5;4;16;NA
"greens";"th";8;9;5;17;18;4;5;4;10;5;17;17;3;4;6;7;13,5;14;3;15;NA
"linke";"1nat";4;4;5;16,5;18;1;3;14;13;2;18;17;3,5;6;5;6;3;20;17;14;3
"linke";"bb";6;4;4;16,5;18,5;1,5;3;15;13,5;1;18;15;4;5,5;6;4;2;17;17;14;NA
"linke";"bw";9,5;9,5;8,5;7,5;NA;9;6,5;5;8,5;7;9;10,5;15;10,5;12,5;11,5;NA;10,5;8,5;7;NA
"linke";"hh";3;2;3;19,5;18;1;2;16;13;1;20;20;2;5;3;4;NA;20;18,5;16;3
"linke";"rp";7;6;8;7;NA;5;5;13;9;6;8;8;11;5;13;5;NA;12;14;13;NA
"linke";"sn";5;4;5;17;19;1;3;13,5;13;1;18;17;4;6;5,5;5;2;20;17;14;NA
"linke";"th";7;6;7;14;17;2;5;11;13;2;16,5;14,5;6;8;8;8,5;4,5;18;14;13;NA
"spd";"1nat";10;9;8;12;15;5;9;3;9;8;12;11,5;7;11;12;11;14;14;8;14;10,5
"spd";"bb";10;10;9,5;12;15;5;9,5;2,5;9;8,5;12,5;11;6,5;13;12;11;13;14;9;13;NA
"spd";"bw";5;10,5;9,5;6,5;NA;6,5;5,5;13,5;8,5;7;5;7,5;10,5;7,5;14;10,5;NA;7,5;6,5;8,5;NA
"spd";"hh";11;9;8;14;14,5;4,5;8;2;6;6;11;13;8;13;12;12;NA;15;8,5;16,5;11
"spd";"rp";8;8;8;9;NA;6;7;14;10;11;9;9;9;7;9;8;NA;11;8;14;NA
"spd";"sn";9;9;8;12;15;4;7;4;10;9;12,5;12;6;11;10;10,5;12;15;8;15;NA
"spd";"th";10;9;10;11;13;5;8;3;8;9;12;10;7;12;13;11;13,5;14;8;12;NA
"volt";"1nat";7;8;3;16;19;8,5;5;12;12,5;4;17;18;1;2;5;6;NA;14;6;16,5;5
"volt";"hh";6;4;2;17;17;8;4;10;13;3;17,5;18;1,5;2;4,5;6,5;NA;16;9;16,5;4
