"";"item";"party";"region";"median";"mean";"median_integer";"median_conservative";"sd";"lower_quantile";"upper_quantile";"lower_ci";"upper_ci";"n"
"1";"leftrightgeneral";"afd";"be";18;18,4347826086957;18;18;1,9096421423527;14,1;20;17,8470815037397;19,0224837136516;43
"2";"leftrightgeneral";"bsw";"be";12;11,4666666666667;12;12;2,9395621512439;7;17,7;10,3038146086328;12,6295187247006;27
"3";"leftrightgeneral";"cdu";"be";14;13,625;14;14;2,54922551466866;8;17;12,8679734676888;14,3820265323112;46
"4";"leftrightgeneral";"fdp";"be";13;12,875;13;13;1,86344138440238;10;16,55;12,1791795515751;13,5708204484249;30
"5";"leftrightgeneral";"greens";"be";6;6,33333333333333;6;6;2,61508075267193;2;12;5,55675020935408;7,10991645731259;46
"6";"leftrightgeneral";"left";"be";3;2,76;3;3;1,53165790834511;1;6;2,31028839075737;3,20971160924263;47
"7";"leftrightgeneral";"spd";"be";9;9,08333333333333;9;9;2,62075391134494;4;13,825;8,32234572302059;9,84432094364607;48
"8";"lrecon";"afd";"be";16,5;16,5;17;16;3,17431599738937;9,95;20;15,4848044929576;17,5151955070424;40
"9";"lrecon";"bsw";"be";8;7,46666666666667;8;8;2,53184841770917;4,65;13,35;6,46510078995366;8,46823254337967;27
"10";"lrecon";"cdu";"be";15;15;15;15;2,84888778581425;8,2;18;14,1440993558734;15,8559006441266;45
"11";"lrecon";"fdp";"be";17;17,0625;17;17;2,74092022469843;11,175;20;16,0390235677332;18,0859764322668;30
"12";"lrecon";"greens";"be";6;6,34782608695652;6;6;2,78502561269092;2;11,95;5,49072171456738;7,20493045934567;43
"13";"lrecon";"left";"be";2;2,68;2;2;1,89941322065361;1;7,85;2,12231138596752;3,23768861403248;47
"14";"lrecon";"spd";"be";8,5;8,54166666666667;9;9;3,20868386942576;3;14,875;7,58880517639164;9,49452815694169;46
"15";"galtan";"afd";"be";19;19,1818181818182;19;19;2,64894569956406;10,3;20;18,3764650794679;19,9871712841684;44
"16";"galtan";"bsw";"be";14;13,9285714285714;14;14;2,24521831700289;9,025;17,325;13,0579666518259;14,7991762053169;28
"17";"galtan";"cdu";"be";14;13,875;14;14;2,91091565520041;6,375;17,875;13,0105647542257;14,7394352457743;46
"18";"galtan";"fdp";"be";11;10,7647058823529;11;11;3,56434362183915;4;17,4;9,50084458992732;12,0285671747786;33
"19";"galtan";"greens";"be";5;4,78260869565217;5;5;3,51360990228775;1;13,7;3,72700341925192;5,83821397205243;45
"20";"galtan";"left";"be";3,5;3,45833333333333;3;4;3,77923387681315;1;16,125;2,33603940519933;4,58062726146733;46
"21";"galtan";"spd";"be";9;8,72;9;9;3,47170404191826;2;16,85;7,70066950655314;9,73933049344686;47
"22";"childcare";"afd";"be";17;16,5;17;17;2,99374347598454;10,75;20;14,9047467071476;18,0952532928524;16
"23";"childcare";"bsw";"be";10;9,5;10;10;2,71416039810964;7;13,625;6,65166334582947;12,3483366541705;6
"24";"childcare";"cdu";"be";12,5;12,6;13;12;3,71164596769057;4,425;18,575;10,8628962155904;14,3371037844096;20
"25";"childcare";"fdp";"be";18;18;18;18;3,63088602593545;9,375;20;16,0652374075101;19,9347625924899;16
"26";"childcare";"greens";"be";4;5,18181818181818;4;4;3,63704140414137;1;11,65;3,42882033850892;6,93481602512744;19
"27";"childcare";"left";"be";1;1,16666666666667;1;1;0,581087203147976;1;2,475;0,909027034160804;1,42430629917253;22
"28";"childcare";"spd";"be";5;5,41666666666667;5;5;3,46316423137952;1;11,95;3,88118566648905;6,95214766684428;22
"29";"communityschool";"afd";"be";18;17,7777777777778;18;18;2,78915968791783;11,8;20;16,3437241930105;19,2118313625451;17
"30";"communityschool";"bsw";"be";11;10,2;11;11;3,95209408023741;2,75;13,7;6,54492259293953;13,8550774070605;7
"31";"communityschool";"cdu";"be";16;16,3;16;16;2,91050728079813;10,475;20;14,9378406625964;17,6621593374036;20
"32";"communityschool";"fdp";"be";18;17,75;18;18;2,8784916685157;11,65;20;16,08800839154;19,41199160846;14
"33";"communityschool";"greens";"be";4;5;4;4;3,60879367834537;1,45;13,1;3,26061712470908;6,73938287529092;19
"34";"communityschool";"left";"be";3;2,72727272727273;3;3;2,12132034355964;1;7,5;1,76165928383794;3,69288617070752;21
"35";"communityschool";"spd";"be";8;7,83333333333333;8;8;3,85000140552063;1;11,95;6,1263383386203;9,54032832804637;22
"36";"ganztag";"afd";"be";18;17,8571428571429;18;18;4,86359388256724;5,75;20;14,5897360279038;21,1245496863819;11
"37";"ganztag";"bsw";"be";10;9;10;10;4,58257569495584;4,3;12,85;NA;NA;3
"38";"ganztag";"cdu";"be";13,5;14,25;14;13;4,0416784675633;6,975;20;11,9164043288173;16,5835956711827;14
"39";"ganztag";"fdp";"be";13,5;14,8333333333333;14;13;3,53767600483022;10,275;19,725;12,5856012362672;17,0810654303994;12
"40";"ganztag";"greens";"be";5;4,71428571428571;5;5;4,61185762673034;1;15,9;1,92736804261133;7,5012033859601;13
"41";"ganztag";"left";"be";2;2,11111111111111;2;2;4,77892197447241;1;15,1;-0,535367666930441;4,75758988915266;15
"42";"ganztag";"spd";"be";5;4,77777777777778;5;5;4,25821006306364;1,4;15,8;2,58840818661345;6,96714736894211;17
"43";"antiestablishment";"afd";"be";18;18,2666666666667;18;18;4,38464037579722;6,2;20;16,5321607020363;20,0011726312971;27
"44";"antiestablishment";"bsw";"be";17;16,9090909090909;17;17;4,67042455212329;3,25;19;14,658018331834;19,1601634863479;19
"45";"antiestablishment";"cdu";"be";4;3,66666666666667;4;4;3,72448585334874;1;12,7;2,19330913352113;5,1400241998122;27
"46";"antiestablishment";"fdp";"be";4,5;5,83333333333333;5;5;5,15978455203089;1;15,9;3,54561302458625;8,12105364208042;22
"47";"antiestablishment";"greens";"be";6;5,66666666666667;6;6;5,00284819162945;1;20;3,68760583503714;7,6457274982962;27
"48";"antiestablishment";"left";"be";16;16;16;16;4,28652990475263;5,675;20;14,3378572219553;17,6621427780447;28
"49";"antiestablishment";"spd";"be";4;4,13333333333333;4;4;3,75053362377331;1;12,3;2,70670664025568;5,55996002641099;29
"50";"peopledecision";"afd";"be";18;17,1538461538462;18;18;5,35867661085859;1,55;20;14,8365806183816;19,4711116893107;23
"51";"peopledecision";"bsw";"be";16;16,2222222222222;16;16;2,30408843784516;12;19,6;15,0375692608927;17,4068751835517;17
"52";"peopledecision";"cdu";"be";5;5,76923076923077;5;5;4,65223960403302;1;16,4;3,84888064380823;7,68958089465331;25
"53";"peopledecision";"fdp";"be";5;5,4;5;5;5,07288976090707;1;18,575;3,02581450971539;7,77418549028461;20
"54";"peopledecision";"greens";"be";10;10,3333333333333;10;10;5,47457893291837;2,575;20;8,02162139275718;12,6450452739095;24
"55";"peopledecision";"left";"be";15;14,7692307692308;15;15;4,84527261014968;3,6;20;12,7692005350741;16,7692610033875;25
"56";"peopledecision";"spd";"be";8;8,2;8;8;3,61423270732227;2,65;16,05;6,77025715882733;9,62974284117267;27
"57";"genderlanguage";"afd";"be";1;1;1;1;0,427546136603678;1;2,25;0,843174810986455;1,15682518901355;31
"58";"genderlanguage";"bsw";"be";6;4,90909090909091;6;6;3,07793505625546;1;10;3,42557369938359;6,39260811879823;19
"59";"genderlanguage";"cdu";"be";5;4,875;5;5;4,01559460105225;1;13,575;3,42722375848594;6,32277624151406;32
"60";"genderlanguage";"fdp";"be";6;6,92307692307692;6;6;3,75746950421408;1;13,25;5,29822526380145;8,54792858235239;23
"61";"genderlanguage";"greens";"be";19;19,0625;19;19;2,53185352223712;12,775;20;18,1496694628915;19,9753305371085;32
"62";"genderlanguage";"left";"be";18,5;18,5625;19;18;2,63276501285307;11,55;20;17,6132869907736;19,5117130092264;32
"63";"genderlanguage";"spd";"be";14;14,1666666666667;14;14;3,58012437669205;7,95;19,175;12,9175022176184;15,4158311157149;34
"64";"liberalism";"afd";"be";19;19,1176470588235;19;19;2,93425433199791;12,2;20;18,0772057137125;20,1580884039346;33
"65";"liberalism";"bsw";"be";14;13,8461538461538;14;14;3,75904705778056;6,75;20;12,22062000156;15,4716876907477;23
"66";"liberalism";"cdu";"be";13;13,2777777777778;13;13;3,6078988409247;6,65;18,35;12,01892236002;14,5366331955356;34
"67";"liberalism";"fdp";"be";7,5;7,35714285714286;7;8;4,11282675484197;1,675;16,65;5,76235512911831;8,9519305851674;28
"68";"liberalism";"greens";"be";2;2,61111111111111;2;2;2,02237924863561;1;7,175;1,90546963219056;3,31675259003167;34
"69";"liberalism";"left";"be";2;2,05263157894737;2;2;1,47926849967058;1;5,15;1,54448507036747;2,56077808752727;35
"70";"liberalism";"spd";"be";6,5;6,44444444444444;6;7;2,90634227110734;1;11,125;5,46107969664709;7,4278091922418;36
"71";"lawandorder";"afd";"be";20;19,6666666666667;20;20;2,46570682460984;12,15;20;18,625489988377;20,7078433449564;24
"72";"lawandorder";"bsw";"be";15;14,4285714285714;15;15;2,65603943015638;10,25;18;12,6442198600888;16,212922997054;11
"73";"lawandorder";"cdu";"be";16;16,3076923076923;16;16;3,78901922226144;7,6;20;14,743662043131;17,8717225722536;25
"74";"lawandorder";"fdp";"be";8,5;9,3;9;9;5,16949554700711;1,475;19;6,88060161007705;11,719398389923;20
"75";"lawandorder";"greens";"be";6;5,46153846153846;6;6;4;1,6;15,2;3,81041961223604;7,11265731084088;25
"76";"lawandorder";"left";"be";3;3,14285714285714;3;3;4,34528922645415;1;16,875;1,38775684153663;4,89795744417765;26
"77";"lawandorder";"spd";"be";10;10,4;10;10;3,41356436183964;6;18,05;9,04963891247659;11,7503610875234;27
"78";"assimilation";"afd";"be";20;19,7857142857143;20;20;1,40671105022886;16;20;19,2402486841933;20,3311798872353;28
"79";"assimilation";"bsw";"be";16;15,9;16;16;2,76205491770548;12;20;14,6073185071908;17,1926814928092;20
"80";"assimilation";"cdu";"be";16;15,2666666666667;16;16;3,56294559048944;7,8;20;13,9113946453318;16,6219386880015;29
"81";"assimilation";"fdp";"be";12,5;12,9166666666667;13;12;3,86571118214009;6,575;20;11,2027063472088;14,6306269861245;22
"82";"assimilation";"greens";"be";3;3,2;3;3;2,44244083682273;1;8,6;2,27094519244208;4,12905480755792;29
"83";"assimilation";"left";"be";1;2;1;1;2,15731847173887;1;7,55;1,1944440437111;2,8055559562889;30
"84";"assimilation";"spd";"be";8;8,47058823529412;8;8;3,51708579268665;1;13,5;7,18051075126758;9,76066571932065;31
"85";"immigration";"afd";"be";20;19,8823529411765;20;20;3,17381761914101;12,75;20;18,7181872397385;21,0465186426144;31
"86";"immigration";"bsw";"be";16;15,7272727272727;16;16;2,48231842476036;12;20;14,5973349273965;16,857210527149;21
"87";"immigration";"cdu";"be";15;15;15;15;3,64735874386543;7,75;20;13,6621380116992;16,3378619883008;31
"88";"immigration";"fdp";"be";12;12,3846153846154;12;12;4,07731602023362;6;20;10,6214517199637;14,1477790492671;23
"89";"immigration";"greens";"be";5;4,47058823529412;5;5;3,51280300418862;1;12,25;3,18208169077143;5,7590947798168;31
"90";"immigration";"left";"be";2;2,76470588235294;2;2;2,48670708391884;1;9,40000000000001;1,88295789102321;3,64645387368267;33
