"";"item";"party";"region";"median";"mean";"median_integer";"median_conservative";"sd";"lower_quantile";"upper_quantile";"lower_ci";"upper_ci";"n"
"1";"leftrightgeneral";"afd";"st";20;19,5882352941176;20;20;1,01811548450308;16;20;19,214787519421;19,9616830688143;31
"2";"leftrightgeneral";"bsw";"st";12;12,8181818181818;12;12;3,05313567122403;7,9;17,55;11,3466175294465;14,2897461069172;19
"3";"leftrightgeneral";"cdu";"st";15;14,75;15;15;2,03893552240284;10,775;18;14,0148853530831;15,4851146469169;32
"4";"leftrightgeneral";"fdp";"st";12;12,6;12;12;1,3814835257889;10,425;14,575;11,9130044049975;13,2869955950025;18
"5";"leftrightgeneral";"greens";"st";8;7,92857142857143;8;8;2,08178917132503;4;10,75;7,08771858507501;8,76942427206785;26
"6";"leftrightgeneral";"left";"st";6;5,6;6;6;2,10617202315789;2;8;4,79885500841679;6,40114499158321;29
"7";"leftrightgeneral";"spd";"st";10;9,625;10;10;1,88429687486969;6,45;13,275;8,92139198344955;10,3286080165505;30
"8";"lrecon";"afd";"st";17,5;16,7857142857143;17;17;3,21290387698595;9,35;20;15,5398802207838;18,0315483506448;28
"9";"lrecon";"bsw";"st";8;7,22222222222222;8;8;3,48315273009618;2,8;14,6;5,43135034044216;9,01309410400229;17
"10";"lrecon";"cdu";"st";13,5;13,75;14;13;2,19952973030208;9,45;17,275;12,9286821007233;14,5713178992767;30
"11";"lrecon";"fdp";"st";16;15,5555555555556;16;16;2,57533550070209;11,4;19,6;14,2314402233433;16,8796708877678;17
"12";"lrecon";"greens";"st";7,5;7,33333333333333;7;8;2,04124145231932;3,15;10;6,4713926623254;8,19527400434127;24
"13";"lrecon";"left";"st";5;4,57142857142857;5;5;1,73052275186112;2;8;3,90040189993401;5,24245524292313;28
"14";"lrecon";"spd";"st";9;8,86666666666667;9;9;2,40535117721182;4,4;13,6;7,95172001110682;9,78161332222651;29
"15";"galtan";"afd";"st";20;19,9333333333333;20;20;0,54139029200371;18,7;20;19,7273994798012;20,1392671868655;29
"16";"galtan";"bsw";"st";15;15,3636363636364;15;15;2,24520281322526;11,8;19,55;14,281483247399;16,4457894798737;19
"17";"galtan";"cdu";"st";15;15,0625;15;15;2,88973609740469;8,9;18,275;13,9834548076177;16,1415451923823;30
"18";"galtan";"fdp";"st";11;10,8181818181818;11;11;2,7498006307316;6,45;14,55;9,49282033900973;12,1435432973539;19
"19";"galtan";"greens";"st";6;6,35714285714286;6;6;3,43824642245701;2;13,75;4,96840507293954;7,74588064134617;26
"20";"galtan";"left";"st";5;5,42857142857143;5;5;2,67656891635937;1,675;10,65;4,3907063504967;6,46643650664616;28
"21";"galtan";"spd";"st";9;9,4;9;9;2,19381126849449;4,4;12;8,56551882234293;10,2344811776571;29
"22";"childcare";"afd";"st";17;16,4444444444444;17;17;4,17247214604529;6,35;20;14,133806387271;18,7550825016179;15
"23";"childcare";"bsw";"st";6;6,8;6;6;4,76969600708473;2,4;16,6;3,13368709466527;10,4663129053347;9
"24";"childcare";"cdu";"st";12;12,3;12;12;2,99018000638561;7;17;10,8130184657986;13,7869815342014;18
"25";"childcare";"fdp";"st";17,5;17,3333333333333;17;17;1,64991582276861;15,225;20;16,1530546552455;18,5136120114211;10
"26";"childcare";"greens";"st";5;5,125;5;5;2,35922319120809;2;8,675;3,76282508417198;6,48717491582802;14
"27";"childcare";"left";"st";1;1,55555555555556;1;1;1,19742370504837;1;4;0,939897096074562;2,17121401503655;17
"28";"childcare";"spd";"st";6;5,81818181818182;6;6;2,40977541357274;2;10,1;4,65670724765793;6,9796563887057;19
"29";"communityschool";"afd";"st";19,5;19,2;19;19;3,90815611388879;7,85;20;17,370926636162;21,029073363838;20
"30";"communityschool";"bsw";"st";11,5;11,5;12;11;4,37525509460387;4,35;17,3;7,84219520344418;15,1578047965558;8
"31";"communityschool";"cdu";"st";16;16;16;16;2,19602158971874;13;20;15,026338573135;16,973661426865;22
"32";"communityschool";"fdp";"st";16,5;16,3333333333333;16;16;2,57464325272219;12,55;20;14,6974830548633;17,9691836118034;12
"33";"communityschool";"greens";"st";4;4,88888888888889;4;4;2,90410460028763;1;9,8;3,39573608353957;6,38204169423821;17
"34";"communityschool";"left";"st";4;4,09090909090909;4;4;2,85517894073659;1;10;2,71475689212628;5,4670612896919;19
"35";"communityschool";"spd";"st";9;8,90909090909091;9;9;3,39537500558796;2,5;14,5;7,36353473656273;10,4546470816191;21
"36";"ganztag";"afd";"st";19;18,4285714285714;19;19;1,73729151790418;16;20;17,2614431059692;19,5956997511737;11
"37";"ganztag";"bsw";"st";12;10,6666666666667;12;12;4,81663783151692;5,2;16,6;4,68602087888586;16,6473124544475;5
"38";"ganztag";"cdu";"st";15;14,25;15;15;4,59873370052579;5,95;20;11,5947702130202;16,9052297869798;14
"39";"ganztag";"fdp";"st";15;15;15;15;3,65604522218567;11,125;19,75;11,1632158427669;18,8367841572331;6
"40";"ganztag";"greens";"st";3,5;4,16666666666667;4;4;2,00277585143997;2;7;2,7339671302278;5,59936620310553;10
"41";"ganztag";"left";"st";2;2,5;2;2;1,97522534195852;1;6;1,24500169207226;3,75499830792774;12
"42";"ganztag";"spd";"st";5,5;5,33333333333333;5;6;2,46182981958665;1,825;9,725;3,76916129060131;6,89750537606535;12
"43";"antiestablishment";"afd";"st";20;19,6923076923077;20;20;3,8527046776691;10;20;18,1019893637839;21,2826260208315;25
"44";"antiestablishment";"bsw";"st";18;17,8888888888889;18;18;3,73280370893137;8;20;15,969658318042;19,8081194597358;17
